name;okrug;subject;cityname;vedomstvo;specific;y2017I1.1;y2017I1.2;y2017I1.3;y2017I1.4;y2017I1.5;y2017I1.6;y2017I1.7;y2017I1.8;y2017I1.9;y2017I1.10;y2017I1.11;y2017I1.12;y2017I1.13;y2017I1.14;y2017I1.15;y2017I2.1;y2017I2.2;y2017I2.3;y2017I2.4;y2017I2.5;y2017I2.6;y2017I2.7;y2017I2.8;y2017I2.9;y2017I2.10;y2017I2.11;y2017I2.12;y2017I2.13;y2017I2.14;y2017I2.15;y2017I2.16;y2017I3.1;y2017I3.2;y2017I3.3;y2017I3.4;y2017I3.5;y2017I3.6;y2017I3.7;y2017I3.8;y2017I3.9;y2017I3.10;y2017I3.11;y2017I3.12;y2017I3.13;y2017I4.1;y2017I4.2;y2017I4.3;y2017I4.4;y2017I5.1;y2017I5.2;y2017I5.3;y2017I5.4;y2017I5.5;y2017I5.6;y2017I5.7;y2017I5.8;y2017I6.1;y2017I7.1;y2017I7.2;y2017I7.3;y2017I7.4;y2017I7.5
Московский гуманитарно-экономический университет;1;1;Москва;1;1;0;0;56.34;45.16;0;0;0;0;0;1.15;0;73.58;2.87;56.52;0;28.39;0;3290.22;9.46;0;943.22;10700;3.44;100;380.26;0;0;11.11;0;1;0;0.11;12.48;22.68;0.22;22.47;0;0;1.59;1;0;1.89;0;0;11046.03;100;181.41;189.38;6.99;6.99;0;0;0;0.28;67;102.26;0;65.93;11.36;76.7;0.44;95.16
Российский новый университет;1;1;Москва;1;1;69.31;69.31;58.05;46.49;0;0;0;0;4.62;5.97;100;100;2.26;75.55;0;29;27.84;7584.69;36.54;35.38;792.34;53368.2;5.26;95.13;197.37;0;0;5.17;0;5;1.74;0.95;5.42;4.51;0.34;4.17;0.89;0.75;0;0;0;2.47;0;0;4847.14;82.42;188.38;282.88;7.63;7.3;0;0;0.33;0.36;57;66.65;0;50.15;21.49;67.78;1.25;79.55
Адыгейский государственный университет;6;60;Майкоп;5;1;60.76;60.76;55.46;47.13;0;0;3;0.39;3.69;5.08;22.73;88.74;2.87;72.52;0.06;12.99;33.26;777.55;1.3;5.98;390.59;32631.6;4.29;100;58.94;1;0;9.58;0.8;16;15.85;2.26;13.59;7.16;1.3;5.86;0;0;0;0;1.98;0;1964.6;0;584.43;29.58;145.63;216.34;17.21;0;17.21;0;0;0.39;11.83;163.83;0;74.19;15.9;90.93;6.77;87.56
Алтайский государственный медицинский университет Министерства здравоохранения Российской Федерации;3;9;Барнаул;9;4;74.11;74.04;59.14;44.62;0;1;351;38.4;0;25.55;0;6.27;34.89;97.01;30.15;72.27;57.29;569.19;3.88;11.28;137.32;44618.2;4.87;100;62.18;0;0;13.12;3.32;2;3;0.17;12.03;2.38;0.5;1.88;0;0;0;0;0.41;1.22;0;45078.5;813.69;50.36;195.51;217.57;13.31;0;9.7;2.81;0.8;0.46;35.47;149.64;0;57.59;22.1;78.7;9.59;80.08
Алтайский государственный технический университет им. И.И. Ползунова;3;9;Барнаул;5;1;60.15;60.05;52.13;40.67;0;2;20;1.52;11.03;12.29;9.3;9.75;1.67;70.5;2.51;20.97;46.3;177.43;6.84;11.03;254.49;60535.1;5.39;91.94;75.27;4;0;8.12;0;9;11.03;0.66;5.63;2.87;0.25;2.62;0.23;0;0;0;8.55;11.97;3386.6;20186.6;536.26;30.72;169.36;160.38;16.73;0;16.51;0;0.23;0.33;24.97;124.57;75;59.64;10.95;70.39;4.55;93.35
Алтайский государственный университет;3;9;Барнаул;5;1;70.04;69.43;59.61;44.74;0;13;7;0.38;19.03;20.56;71.71;100;2.91;100;0.65;62.31;153.74;241.06;31.65;30.24;339.55;210261.8;12.01;95.96;61.57;5;0.01;18.02;1.6;37;8.34;1.68;7.43;3.68;0.98;2.7;1.23;1.23;2.03;6;1.18;11.42;0;21612;770.96;31.17;218.54;200.72;6.29;0;6.05;0.09;0.16;0.55;76.83;105.04;0;64.24;16.72;82.11;4.81;87.11
Астраханский государственный медицинский университет Министерства здравоохранения Российской Федерации;6;57;Астрахань;9;4;73.6;73.6;59.36;44.66;0;0;209;28.79;0;14.08;0;19.44;18.53;100;27.24;6.32;44.05;325.53;2.17;11.46;152.89;27381.5;7.85;100;46.31;0;0;30.97;1.53;2;0.59;15.39;14.48;6.23;0.75;5.48;0;0;0;0;1.07;2.81;0;0;628.96;49.17;149.49;160.44;9.43;0;9.07;0;0.36;0.2;67.97;139.87;65;51.65;19.65;70.47;8.77;75.5
Астраханский государственный технический университет;6;57;Астрахань;20;1;61.63;61.63;54.29;44.29;0;0;44;4.31;17.57;20.62;27.02;28.03;4.3;35.84;3.3;28.32;36.59;483.36;2.69;5.38;165.6;25653;3.78;100;36.3;2;0;15.36;1.47;5;1.65;3.74;12.38;10.11;4.87;5.24;0.28;0.06;0.16;1;9.17;2.29;0;7979.2;656.07;44.98;154.21;139.3;11.53;0;11.53;0;0;0.32;20.01;157.48;70;59.07;14.14;74.07;4.05;76.52
Астраханский государственный университет;6;57;Астрахань;5;1;64.68;64.6;59.28;44.53;0;1;42;3.3;19.47;20.7;30.81;32.6;2.67;98.39;5.8;33;63.21;804.22;2.2;4.11;171.29;35443.5;3.97;100;19.3;0;0;29.34;1.73;5;3.23;0.75;13.28;8.2;0.36;7.84;0.75;0.66;0.61;5;4.29;1.23;2696.7;46259;542.05;41.38;147.15;146.59;5.8;0;5.77;0;0.03;0.24;38.23;149.51;70;60.14;15.3;75.32;4.64;77.32
Балтийский федеральный университет имени Иммануила Канта;5;49;Калининград;5;1;72.68;72.61;67.68;56.23;2;0;48;4.05;16.61;22.77;31.75;30.53;8.14;97.3;7.14;50.41;78.7;352.59;21.97;29.08;167.84;241560.5;14.02;95.97;212.49;1;0;23.93;1.45;9;10.59;2.24;3.07;3.63;2.01;1.62;0.79;0.36;1.42;8;1.86;1.45;27045.8;2909.5;885.97;32.54;189.2;289.63;13.83;0;13.12;0.46;0.25;0.63;34.79;83.46;70;48.67;14.96;66.87;5.77;82.86
Башкирский государственный медицинский университет Министерства здравоохранения Российской Федерации;9;77;Уфа;9;4;82.11;82.11;63.16;43.53;0;0;347;25.65;0;18.78;0;8.16;25.63;95.5;21.63;20.26;31.29;122.9;2.04;10.31;87.77;58422.3;2.17;100;19.95;1;0;19.98;4.73;5;0.48;1.86;3.77;2.97;2.72;0.25;0.3;0.44;0.1;0;1.19;0.91;2917.8;63894;2180.12;67.4;177.21;392.58;14.64;0;11.27;3.22;0.14;0.34;69.06;86.99;85;64.9;26.98;91.37;10.35;76.09
Башкирский государственный университет;9;77;Уфа;5;1;67.19;67.06;65.17;56.97;2;1;62;3.71;15.99;18.29;17.89;33.68;5.36;99.93;3.35;167.75;197.96;2304.6;21.01;26.8;938.1;155506;9.39;95.77;98.65;24;0.27;31;3.1;5;11.02;1.41;1.83;1.76;0.49;1.27;0.71;1.02;0.61;6;1.61;2.82;4479.3;9826.3;765.03;40.67;174.88;178.88;10.66;0;9.43;0.95;0.28;0.32;62.29;114.35;75;63.63;23.03;84.11;5.07;85.7
Белгородский государственный национальный исследовательский университет;1;30;Белгород;5;1;70.04;69.91;61.55;50.26;0;2;85;4.67;9.65;16.94;14.19;28.75;10.96;95.83;3.93;168.02;253.88;802.92;14.61;31.54;329.84;738593.4;26.03;84.56;299.93;8;0.01;25.61;2.11;18;10.82;7.27;10.61;7.43;3.94;3.48;0.96;0.97;2.66;38;7.42;4.72;10113.5;149241.9;1093.21;46.66;185.25;262.19;17.34;0;16.22;0.95;0.17;0.38;51.39;105;0;60.21;16.07;78.52;5.44;83.07
Белгородский государственный технологический университет им. В.Г. Шухова;1;30;Белгород;5;1;62.51;62.46;66.19;54.92;0;1;34;2.48;10.11;12.84;12.96;76.64;5.87;88.99;4.98;6.49;20.09;4481.65;5.37;11.73;1162.38;203509.4;14.18;98.67;144.48;101;0.09;25.4;3.87;3;24.96;4.72;4.15;10.16;6.62;3.53;0.05;0.26;3.34;23;3.12;0.83;438.6;51626.2;754.25;42.12;160.21;175.42;11.94;0;11.94;0;0;0.53;52.95;139.62;75;58.89;17.07;70.37;3.93;87.32
Благовещенский государственный педагогический университет;4;21;Благовещенск;5;1;58.97;58.97;51.09;44.9;0;0;0;0;5.87;6.3;38.71;92.33;1;77.2;5.68;59.32;106.78;700;10.73;14.12;341.24;9599.8;2.32;100;43.62;0;0;8.37;1.62;2;0.56;7.25;0.14;11.24;11.24;0;0.05;0.51;0;0;17.39;0;0;0;741.35;31.72;154.75;180.72;10.16;0;10.16;0;0;0.39;34.51;271.79;75;70.73;9.24;80.43;4.07;92.93
Брянский государственный аграрный университет;1;31;село Кокино;6;3;55.66;55.66;50.56;40.85;0;0;24;6.4;5.01;8.52;2.44;14.88;4.09;95.23;2.18;25.41;21.01;654.78;7.33;10.26;326.9;40664;8.25;100;190.64;212;0;35.89;1.48;2;0.98;0;14.51;10.65;0;10.65;0;0;0;0;0;0;0;13008;678.79;28.17;200.34;237.5;26.82;0;26.82;0;0;0.34;48.84;193.34;65;63.4;19.79;82.83;3.35;96.94
Владивостокский государственный университет экономики и сервиса;4;25;Владивосток;5;1;69.98;69.98;55.75;39.77;0;0;11;0.96;8.07;9.18;25;39.81;4;88.76;2.37;64.91;122.78;921;7.65;20.51;400.8;51664.9;3.44;100;126.42;7;0.19;18.67;3.99;2;1.84;5.02;1.27;9.62;9.62;0.01;1.35;3.69;1.87;6;0.51;0;401.5;41985.5;2757.47;59.96;192.23;304.91;25.3;0;12.02;10.84;2.44;0.6;63.44;72.97;65;62.57;9.34;67.72;3.15;83.53
Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;1;32;Владимир;5;1;63.68;63.59;58.43;45.97;0;2;142;7.03;12.4;14.26;9.24;87.29;3.22;61.81;4.01;17.24;95.33;1063.33;9.22;18.44;163.54;179199.3;10.94;89.3;132.77;17;0;17.16;1.28;6;7.59;1;2.73;3.07;0.9;2.17;0.39;1.06;0.45;5;4.95;0;1506.6;188.6;649.24;36.54;188.62;163.51;9.63;0;9.58;0.04;0.01;0.31;22.18;115.33;80;58.27;13.28;72.48;3.84;84.04
Волгоградский государственный медицинский университет Министерства здравоохранения Российской Федерации;6;58;Волгоград;9;4;75.83;75.83;59.15;44.09;0;0;207;18.8;0;13.83;0;53.12;17.31;94.15;13.9;86.42;145.28;987.36;4.53;13.58;174.34;95193.1;5.02;95.64;50.34;0;0;24.44;2.44;5;3.58;16.22;2.17;13.24;11.11;2.13;0;0;0;0;2.01;0.67;205.5;359347.8;992.66;55.47;157.31;314.55;14.04;0;8.15;5.89;0;0.29;65.2;134.05;80;53.47;15.42;71.44;11.69;72.4
Волгоградский государственный технический университет;6;58;Волгоград;5;1;59.67;59.55;50.74;42.55;0;3;40;2.63;14.03;16.56;100;86.38;3.66;94.78;1.32;72.67;163.05;2754.56;19.57;31.91;318.76;331156;18.61;99.39;322.56;1;0;24.49;1.51;7;14.79;3.99;2.87;4.49;3.08;1.4;0.01;0.04;0.1;0;5.7;0.67;373.5;47913.4;868.12;40.47;167.37;225.93;17.59;0;17.59;0;0;0.42;53.18;289.34;70;61.36;17.1;78.51;4.54;91.32
Воронежский государственный лесотехнический университет имени Г.Ф. Морозова;1;33;Воронеж;5;1;59.13;59.13;49.49;43.66;0;0;46;10.6;8.87;10.31;4.35;91.34;3.85;54.75;2.17;74.55;90.87;3020.29;2.21;11.47;468.46;23352.8;5.9;80.51;87.52;4;0.27;15.61;0.88;3;4.41;0.26;15.93;13.65;1.77;11.88;0;0;0;0;2.27;1.14;210.5;230.9;768.89;44.03;158.5;173.01;15.65;0;15.65;0;0;0.4;29.08;248.63;65;63.52;20.73;83.98;4.27;96.6
