Российский университет дружбы народов;Cluster0;Cluster0
Национальный исследовательский Томский политехнический университет;Cluster3;Cluster3
Национальный исследовательский университет Высшая школа экономики;Cluster5;Cluster5
Московский государственный технический университет имени Н.Э.Баумана;Cluster17;Cluster17
Московский государственный университет имени М.В.Ломоносова;Cluster23;Cluster23
Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губки;Cluster19;Cluster385
Московский авиационный институт (национальный исследовательский университет);Cluster26;Cluster385
Южный федеральный университет;Cluster13;Cluster385
Санкт-Петербургский горный университет;Cluster118;Cluster385
Национальный исследовательский Нижегородский государственный университет им.Н.И. Лобачевского;Cluster33;Cluster385
Санкт-Петербургский политехнический университет Петра Великого;Cluster2;Cluster385
Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации;Cluster15;Cluster385
Московский физико-технический институт (государственный университет);Cluster7;Cluster385
Национальный исследовательский ядерный университет МИФИ;Cluster8;Cluster385
Уральский федеральный университет имени первого Президента России Б.Н. Ельцина;Cluster10;Cluster385
Национальный исследовательский технологический университет МИСиС;Cluster4;Cluster385
Казанский (Приволжский) федеральный университет;Cluster1;Cluster385
Национальный исследовательский Томский государственный университет;Cluster6;Cluster385
Санкт-Петербургский государственный университет;Cluster39;Cluster385
Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики;Cluster34;Cluster385
Самарский национальный исследовательский университет имени академика С.П. Королева;Cluster37;Cluster385
Томский государственный университет систем управления и радиоэлектроники;Cluster150;Cluster385
Казанский национальный исследовательский технологический университет;Cluster25;Cluster385
Национальный исследовательский университет МЭИ;Cluster45;Cluster385
Первый Московский государственный медицинский университет имени И.М. Сеченова;Cluster12;Cluster385
Тюменский государственный университет;Cluster36;Cluster385
Нижегородский государственный технический университет им. Р.Е. Алексеева;Cluster192;Cluster385
Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ (КНИТУ-КАИ);Cluster132;Cluster385
Национальный исследовательский Московский государственный строительный университет;Cluster168;Cluster385
Новгородский государственный университет имени Яярослава Мудрого;Cluster40;Cluster385
Кубанский государственный университет;Cluster52;Cluster385
Ульяновский государственный университет;Cluster130;Cluster385
Нижегородская государственная медицинская академия Министерства здравоохранения Российской Федерации;Cluster84;Cluster385
Иркутский государственный университет;Cluster87;Cluster385
Тихоокеанский государственный университет;Cluster138;Cluster385
Финансовый университет при Правительстве Российской Федерации;Cluster22;Cluster385
Магнитогорский государственный технический университет им. Г.И. Носова;Cluster93;Cluster385
Московский государственный медико-стоматологический университет имени А.И. Евдокимова;Cluster51;Cluster385
Первый Санкт-Петербургский государственный медицинский университет имени академика И.П. Павлова;Cluster153;Cluster385
Московский автомобильно-дорожный государственный технический университет (МАДИ);Cluster137;Cluster385
Самарский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster145;Cluster385
Сибирский государственный университет путей сообщения;Cluster131;Cluster385
Воронежский государственный технический университет;Cluster67;Cluster385
Алтайский государственный университет;Cluster69;Cluster385
Юго-Западный государственный университет;Cluster125;Cluster385
Сибирский государственный аэрокосмический университет имени академика М.Ф. Решетнева;Cluster66;Cluster385
Северный (Арктический) федеральный университет имени М. В. Ломоносова.;Cluster89;Cluster385
Иркутский национальный исследовательский технический университет;Cluster104;Cluster385
Кубанский государственный технологический университет;Cluster54;Cluster385
Оренбургский государственный университет;Cluster95;Cluster385
Орловский государственный университет имени И.С.Тургенева;Cluster105;Cluster385
Тульский государственный университет;Cluster162;Cluster385
Челябинский государственный университет;Cluster169;Cluster385
Тольяттинский государственный университет;Cluster100;Cluster385
Санкт-Петербургский государственный архитектурно-строительный университет;Cluster103;Cluster385
Пензенский государственный университет;Cluster71;Cluster385
Московский государственный универститет технологий и управления имени К.Г. Разумовского;Cluster142;Cluster385
Воронежский государственный медицинский университет имени Н.Н. Бурденко;Cluster83;Cluster385
Российский государственный гуманитарный университет;Cluster14;Cluster385
Казанский государственный энергетический университет;Cluster129;Cluster385
Санкт-Петербургский государственный университет гражданской авиации;Cluster161;Cluster385
Сибирский государственный индустриальный университет;Cluster80;Cluster385
Новосибирский государственный аграрный университет;Cluster91;Cluster385
Санкт-Петербургский государственный институт культуры;Cluster141;Cluster385
Православный Свято-Тихоновский гуманитарный университет;Cluster194;Cluster385
Тверской государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster121;Cluster385
Санкт-Петербургский государственный аграрный университет;Cluster163;Cluster385
Курганская государственная сельскохозяйственная академия имени Т.С. Мальцева;Cluster179;Cluster385
Северо-Кавказский горно-металлургический институт (государственный технологический университет);Cluster193;Cluster385
Челябинский государственный институт культуры;Cluster165;Cluster385
Горно-Алтайский государственный университет;Cluster190;Cluster385
Воронежский государственный лесотехнический университет имени Г.Ф. Морозова;Cluster146;Cluster385
Астраханский государственный медицинский университет Министерства здравоохранения Российской Федерации;Cluster60;Cluster385
Ростовский государственный экономический университет (РИНХ);Cluster127;Cluster385
Сибирский государственный автомобильно-дорожный университет (СибАДИ);Cluster77;Cluster385
Оренбургский государственный педагогический университет;Cluster180;Cluster385
Новосибирский государственный педагогический университет;Cluster92;Cluster385
Пермская государственная сельскохозяйственная академия имени академика Д.Н. Прянишникова;Cluster172;Cluster385
Воронежский государственный университет инженерных технологий;Cluster160;Cluster385
Ухтинский государственный технический университет;Cluster143;Cluster385
Адыгейский государственный университет;Cluster78;Cluster385
Южно-Уральский государственный гуманитарно-педагогический университет;Cluster133;Cluster385
Государственное казенное образовательное учреждение высшего образования Российская таможенная академия;Cluster191;Cluster385
Уральский государственный аграрный университет;Cluster76;Cluster385
Карачаево-Черкесский государственный университет имени У.Д. Алиева;Cluster62;Cluster385
Поволжский государственный университет телекоммуникаций и информатики;Cluster187;Cluster385
Учреждение высшего образования Университет управления ТИСБИ;Cluster195;Cluster385
Майкопский государственный технологический университет;Cluster114;Cluster385
Сибирский государственный университет физической культуры и спорта;Cluster109;Cluster385
Приморская государственная сельскохозяйственная академия;Cluster186;Cluster385
Костромская государственная сельскохозяйственная академия;Cluster111;Cluster385
